"id","long","lat","avg_long","avg_lat"
1,-106.000555556,39.99944444,-105.499999998,40.499999998
1,-106.000555556,41.000555556,-105.499999998,40.499999998
1,-104.99944444,41.000555556,-105.499999998,40.499999998
1,-104.99944444,39.99944444,-105.499999998,40.499999998
2,-111.000555555,42.99944444,-110.499999997,43.499999998
2,-111.000555555,44.000555556,-110.499999997,43.499999998
2,-109.999444439,44.000555556,-110.499999997,43.499999998
2,-109.999444439,42.99944444,-110.499999997,43.499999998
3,-110.000555556,37.999444444,-109.5000000005,38.4999999995
3,-110.000555556,39.000555555,-109.5000000005,38.4999999995
3,-108.999444445,39.000555555,-109.5000000005,38.4999999995
3,-108.999444445,37.999444444,-109.5000000005,38.4999999995
4,-111.000555554,40.999444444,-110.4999999985,41.4999999995
4,-111.000555554,42.000555555,-110.4999999985,41.4999999995
4,-109.999444443,42.000555555,-110.4999999985,41.4999999995
4,-109.999444443,40.999444444,-110.4999999985,41.4999999995
5,-108.000555556,37.999444444,-107.5000000005,38.4999999995
5,-108.000555556,39.000555555,-107.5000000005,38.4999999995
5,-106.999444445,39.000555555,-107.5000000005,38.4999999995
5,-106.999444445,37.999444444,-107.5000000005,38.4999999995
6,-111.000555556,37.999444444,-110.5000000005,38.4999999995
6,-111.000555556,39.000555555,-110.5000000005,38.4999999995
6,-109.999444445,39.000555555,-110.5000000005,38.4999999995
6,-109.999444445,37.999444444,-110.5000000005,38.4999999995
7,-108.000555556,41.999444444,-107.5000000005,42.4999999995
7,-108.000555556,43.000555555,-107.5000000005,42.4999999995
7,-106.999444445,43.000555555,-107.5000000005,42.4999999995
7,-106.999444445,41.999444444,-107.5000000005,42.4999999995
8,-109.000555556,42.999444444,-108.5000000005,43.4999999995
8,-109.000555556,44.000555555,-108.5000000005,43.4999999995
8,-107.999444445,44.000555555,-108.5000000005,43.4999999995
8,-107.999444445,42.999444444,-108.5000000005,43.4999999995
9,-110.000555556,41.999444444,-109.5000000005,42.4999999995
9,-110.000555556,43.000555555,-109.5000000005,42.4999999995
9,-108.999444445,43.000555555,-109.5000000005,42.4999999995
9,-108.999444445,41.999444444,-109.5000000005,42.4999999995
